,shadow_instability_time
669,1000000000.0000008
670,1163704.6960365123
671,498254811.9303354
672,999000000.0135076
673,9008784.918743318
674,1000000000.0
675,999000000.0047956
676,999000000.0021437
677,3560228.9278579718
678,999000000.0216987
679,1000000000.0000002
680,999999999.9999998
681,999000000.009134
682,830789.739688484
683,999000000.0346261
684,1396593.0607647663
685,999999999.9999987
686,364885.01226466626
687,1000000000.0000005
688,999000000.0139345
689,69320274.27644838
690,935805.6081419867
691,999000000.0071545
692,999000000.0064974
693,12841306.951683689
694,999999999.9999985
695,999000000.0318599
696,180648.84619716957
697,2226395.9875616455
698,4937763.650106203
699,1000000000.0
700,17196673.703306902
701,1000000000.0000011
702,999000000.0259694
703,96653797.08393073
704,999000000.0283936
705,1000000000.0
706,999000000.0153387
707,999000000.0096022
708,8377578.183320721
709,1000000000.0000005
710,999999999.999999
711,999000000.0120591
712,999999999.9999995
713,6302068.8414018955
714,999000000.0085799
715,999000000.0329217
716,999000000.0130391
717,1000000000.0000019
718,999000000.0155519
719,1000000000.0000006
720,7529479.712472731
721,1538467.8007712453
722,20438046.251625974
723,5752739.01677623
724,1000000000.0000002
725,999000000.0091298
726,558139.1703109017
727,999000000.0252091
728,999999999.9999996
729,847606521.7732617
730,3688828.2355992184
731,999000000.0257705
732,999000000.0147052
733,999000000.028137
734,26454807.957559515
735,797882.3687180941
736,1412666.6293378635
737,999999999.9999994
738,999000000.0165769
739,4102777.9465962774
740,21285093.44385779
741,999000000.0095887
742,999000000.0228326
743,999000000.0284914
744,1000000000.0000001
745,999000000.0141196
746,999999999.9999989
747,3806171.5540766343
748,999000000.009405
749,999000000.0162659
750,3538892.7494343356
751,1000000000.0000012
752,999999999.9999996
753,999000000.0011116
754,999000000.0190072
755,999000000.0171224
756,999000000.02781
757,999000000.0274951
758,999000000.0034381
759,999999999.9999993
760,999000000.0002632
761,29876286.0804909
762,7944879.742449434
763,1000000000.0000004
764,1000000000.0000005
765,999999999.9999985
766,2863552.253463189
767,999999999.9999992
768,1987890.2653524606
769,999999999.9999994
770,1000000000.0000005
771,1000000000.0
772,1863942.768035045
773,999000000.0177635
774,1320368.343884348
775,380321525.7268647
776,999000000.0279591
777,1667345.2345825762
778,1797585.1643328618
779,999000000.0070045
780,999000000.0047618
781,765873.3757626008
782,999000000.0266489
783,1000000000.0000007
784,99737778.99302861
785,999000000.008423
786,999000000.0182372
787,999999999.9999996
788,3310440.7470407784
789,528340155.02883196
790,999000000.0329274
791,999999999.999999
792,999000000.0177659
793,1102195.070543872
794,999000000.0232372
795,972835.0545109158
796,999000000.0207267
797,21201842.29292145
798,1000000000.0
799,2262335.514879071
800,999999999.9999999
801,27091687.033559185
802,14623241.305636484
803,1067917.9222717853
804,999999999.9999995
805,1836893.9872387059
806,996618.0523425828
807,999999999.9999999
808,999000000.0343262
809,999000000.0021528
810,999000000.0326355
811,999000000.0181268
812,1000000000.0000005
813,999999999.9999985
814,999000000.0191551
815,999000000.0219204
816,999000000.0133318
817,129026.3189810022
818,1000000000.000001
819,999999999.9999998
820,1451748.5899648685
821,999999999.9999983
822,1000000000.0000007
823,999000000.0287511
824,1000000000.0000017
825,999000000.0070546
826,4352393.244175135
827,41597839.17662926
828,6824873.535969265
829,999000000.0194668
830,2338512.006693906
831,1000000000.0000002
832,999000000.0177718
833,1000000000.0000001
834,136209813.63216066
835,1000000000.0
836,999000000.0277957
837,999000000.0241488
838,999999999.9999993
839,999000000.0103688
840,2121847.001202137
841,999999999.9999993
842,981682387.7471769
843,404057864.0065887
844,533879.0620832302
845,999000000.0249984
846,1000000000.0000002
847,1000000000.0000004
848,999000000.0307312
849,2076813.754800688
850,1000000000.0000004
851,101401142.05439349
852,1000000000.0000011
853,999000000.0013076
854,1000000000.0000008
855,16784435.870286833
856,999000000.006877
857,999000000.0319172
858,104210347.13851878
859,999000000.0065155
860,849360841.353351
861,1337675.5187694374
862,20503554.76315187
863,999999999.9999989
864,999000000.0048705
865,999000000.0261557
866,999000000.021655
867,999000000.033962
868,999000000.0033867
869,3714280.843189947
870,6387923.366507733
871,999999999.9999999
872,1000000000.000001
873,678609.6082921814
874,1965178.989934175
875,999000000.0109766
876,1000000000.0
877,999000000.0120714
878,1000000000.0000007
879,999000000.0297956
880,999999999.9999992
881,999000000.0070707
882,999000000.0122585
883,1000000000.0000011
884,3166674.9965814473
885,999000000.0315473
886,4393157.991211462
887,999999999.9999995
888,999000000.011134
889,16966864.729503643
890,999000000.0045321
891,4083696.584476234
892,1000000000.0000005
893,999000000.0258236
894,999000000.0032586
895,999999999.9999992
896,1289539.0552221136
897,999000000.0272734
898,1000000000.000001
899,1000000000.0000006
900,999000000.025042
901,999000000.0268824
902,3024626.180408242
903,455749.1247449685
904,1000000000.0000001
905,999000000.0036405
906,999000000.015516
907,999000000.0006803
908,1000000000.0000023
909,999000000.0035207
910,999000000.020661
911,999000000.0111358
912,20070395.135136865
913,2816891.6242438396
914,1000000000.0000002
915,1000000000.0000006
916,999000000.0030482
917,1000000000.0000007
918,999000000.0252819
919,999000000.0152582
920,999000000.028244
921,999999999.9999992
922,619890.245491641
923,25971221.0379563
924,1000000000.000001
925,998356085.8813357
926,8362463.004331424
927,999999999.9999996
928,999999999.9999996
929,1000000000.0000004
930,1000000000.0000008
931,631337264.1958281
932,999999999.9999993
933,1674382.6942351428
934,999000000.0138572
935,45902415.439957626
936,999000000.0181794
937,999000000.0204055
938,3387882.079693161
939,999000000.0130473
940,1079698.0515039684
941,999000000.0123701
942,999000000.0251842
943,600936.8635927512
944,1000000000.0000008
945,43393699.00855855
946,999000000.0238849
947,1000000000.0000002
948,2072015.423584354
949,999000000.0215564
950,401000000.01104915
951,1000000000.0000001
952,1000000000.0
953,1408199.1864936799
954,9284016.718627712
955,1000000000.0
956,999000000.0189778
