,runstring,m1,m2,m3
99,0000099.bin,2.1867588679967845e-06,2.2799641777798042e-07,2.327152910311922e-06
100,0000100.bin,3.4512551887258826e-06,1.635643997802941e-06,1.3571151921806469e-06
101,0000101.bin,2.0553603935430396e-07,9.942522720410394e-07,2.9848397281503923e-06
102,0000102.bin,1.3292562292477254e-06,5.22694997724059e-07,5.013271404317647e-06
103,0000103.bin,1.3571151921806469e-06,2.635560369296196e-06,1.9713369233232747e-06
104,0000104.bin,2.635560369296196e-06,2.0131678004981962e-07,6.168808617484117e-06
105,0000105.bin,4.910358591121176e-06,9.148574919573726e-06,3.828398281579019e-06
106,0000106.bin,6.704161071675295e-07,9.942522720410394e-07,4.426629446482942e-06
107,0000107.bin,3.6737720668107847e-07,7.134580852755099e-07,1.249063967504294e-06
108,0000108.bin,5.22694997724059e-07,2.8054859857394116e-07,1.5691800147637062e-06
109,0000109.bin,1.3292562292477254e-06,1.0150901184878236e-06,2.1418689171655687e-06
110,0000110.bin,9.150915815918627e-07,1.9713369233232747e-06,6.29809641531098e-06
111,0000111.bin,1.2234230882515098e-06,1.4145969853898238e-06,1.3567680284589805e-05
112,0000112.bin,4.615303824307647e-07,1.126016203600804e-06,2.690797258185451e-06
113,0000113.bin,2.2325896362938236e-06,9.942522720410394e-07,2.4765605148485884e-06
114,0000114.bin,1.4745134698972549e-06,3.2438753658235296e-07,7.13275575516706e-06
115,0000115.bin,2.1418689171655687e-06,1.0150901184878236e-06,3.380407562128235e-06
116,0000116.bin,6.170387064578431e-07,9.150915815918627e-07,3.7498086331307844e-06
117,0000117.bin,5.014554177742353e-07,8.598853226212549e-07,1.9308691704038435e-06
118,0000118.bin,9.942522720410394e-07,2.8054859857394116e-07,1.0360995784439021e-05
119,0000119.bin,6.566537547990588e-07,4.075231154588431e-07,1.3852035921841765e-05
120,0000120.bin,2.985603475560588e-07,1.8143823994598823e-06,3.523587661767843e-06
121,0000121.bin,1.8912321425672746e-06,8.080095838857058e-07,3.523587661767843e-06
122,0000122.bin,2.528465035642765e-06,8.080095838857058e-07,3.990553417410784e-06
123,0000123.bin,1.126016203600804e-06,2.477194206055196e-07,7.751763173860588e-07
124,0000124.bin,5.679111244445295e-07,6.431739170355098e-07,3.176472066414706e-06
125,0000125.bin,2.0126528119148433e-06,5.336498010569216e-07,8.596653553022548e-06
