,runstring,instability_time,shadow_instability_time,Stable,Pratio21,Pratio32,beta12,beta23
20988,0020988.bin,224.50842567711413,224.50842567711413,False,2.004681828768153,1.287266149027235,29.98994972944457,9.121327531613945
20989,0020989.bin,1000002331.6482726,1000002331.6482726,True,1.3881584645515328,1.2789866128062914,20.131592780449353,14.916254484607057
20990,0020990.bin,82543.09825985877,163045.28640582765,False,1.0698363470208159,1.4458731905975988,10.879704910571334,22.623822319673415
20991,0020991.bin,22393.095994042596,21324.62849179073,False,2.134653803105349,1.3200219028762274,28.689130299567076,22.716605642458596
20992,0020992.bin,1000001142.2024127,1000001142.2024127,True,2.104400936246833,2.39961581034265,21.41048917857816,26.347197446452736
20993,0020993.bin,1000000387.919191,1000000387.919191,True,1.1512166830107868,1.7861324503538079,7.152112788400479,19.93061445961944
20994,0020994.bin,101874.65588224682,120007.18401277694,False,1.081749032437668,1.1160353846797775,7.290622776944291,10.489228339736758
20995,0020995.bin,1000001203.5607033,1000001203.5607033,True,1.8218867318894496,1.8144283883018346,26.62229396313778,26.39526091062244
20996,0020996.bin,2963.157880576124,7738.248751907213,False,1.0334188266170135,1.0501250260623547,3.076507151478347,4.5553477342327335
20997,0020997.bin,1000002010.892218,1000002010.892218,True,1.2255719007368395,1.5202869207717447,8.705442363285187,21.462996704597728
20998,0020998.bin,121780.45763077773,37327.84264466377,False,1.2886755107082475,1.2331966696644752,10.658785837472102,5.3954498239991535
20999,0020999.bin,42.747013930799596,42.747013930799596,False,1.7021873797928435,1.02871271521907,29.260983827469964,1.6383424892522225
21000,0021000.bin,1.0392304845413272,1.0392304845413272,False,1.0427587209407343,1.928747139804669,1.0615777215891367,14.917575239218692
21001,0021001.bin,1000010599.4363395,1000010599.4363395,True,1.4398576778584107,1.6463513237267136,14.272460688913123,25.72937117128398
21002,0021002.bin,196406.80201252733,13232.66032383842,False,1.4115614950494886,1.0821024112823339,21.512823584996042,3.704964455350554
21003,0021003.bin,1211476.839677468,3521313.2311027623,False,1.0705701690885827,1.4212825095718316,7.946763535239272,23.516271290806376
21004,0021004.bin,859.0972005543324,547.3973372241735,False,1.0782799332871655,2.383267623381298,3.416241862423931,29.78500945911467
21005,0021005.bin,30073.043914785947,5162.169585887036,False,1.630843809692029,1.4416944299164463,17.60150134697951,11.425407010745422
21006,0021006.bin,432.1466764883139,432.1466764883139,False,1.1153399656453165,2.0448180151929263,14.207752365530473,24.316197815608383
21007,0021007.bin,225265818.93498477,424643840.47726834,False,1.5252189811049048,1.123423290602286,27.185528898380728,7.9910037777782845
21008,0021008.bin,96.50987099774038,96.50987099774038,False,1.3257774958375574,1.0448946556888659,24.690790156933964,4.663618451243936
21009,0021009.bin,38199.1681246737,38619.155804543036,False,2.0919986368785306,1.8998840701281963,25.248883348693475,27.635601395124226
21010,0021010.bin,1000034059.0001553,1000034059.0001553,True,2.205295476856141,1.4905501312969403,24.50464113546916,29.11056838557003
21011,0021011.bin,22464723.06918498,2570787.7234069193,False,1.365606535996799,1.1531438230617461,10.184051582773932,7.380889208316088
21012,0021012.bin,1000035366.5034088,1000035366.5034088,True,1.4825875264194308,2.5460723741602633,8.342003705173358,23.79830293533443
21013,0021013.bin,909887.1647179596,203644.38415734452,False,1.3306010504762815,1.2714644184910842,9.310489737700276,11.302551303920694
21014,0021014.bin,202770660.8456623,527369241.1134434,False,1.511382052197931,2.065340591756683,11.45188639592823,21.29719141873962
21015,0021015.bin,13903426.216357753,7385388.732755236,False,1.3768750924435107,1.6227917866942685,8.84304796499248,19.82460273982758
21016,0021016.bin,4937.869006305865,3826.6544901950892,False,1.2276869678340356,1.2172149363929516,5.273858027111378,15.43419204760739
21017,0021017.bin,1000012945.5366217,1000012945.5366217,True,1.853518206582306,1.1536408551146315,24.231720147019402,10.511002757360664
21018,0021018.bin,1000000119.149516,1000000119.149516,True,1.2750413182686928,1.144813595546039,13.587876451985839,7.246662346403342
21019,0021019.bin,4785.102125037589,3046.7812935629267,False,1.0740799140123918,1.9095337827033805,5.637246800149508,20.899104581430123
21020,0021020.bin,104979.39160409891,17897.038507760954,False,1.1757716314348394,1.8777045876811485,4.47390020118629,27.265024715337493
21021,0021021.bin,2088444.7561082784,144847278.1131296,False,2.3784599140465295,1.2288955791326661,26.474375250454887,13.14081043243492
21022,0021022.bin,18716.922077452396,58518.65289112702,False,1.207339464757047,1.0413024404773719,20.945075554928543,4.2771887670751605
21023,0021023.bin,1000001916.7281307,1000001916.7281307,True,1.3106024488929844,1.8662621273393385,11.302177760362804,26.887378130274225
21024,0021024.bin,14296.624493981755,12001.414686746386,False,1.7074069818784885,1.0112965940543948,29.03151729032484,1.0262068158225093
21025,0021025.bin,1000001701.3154883,1000001701.3154883,True,1.1705870539323682,1.6457058608808053,9.552377889882921,26.665845259283966
21026,0021026.bin,1000000680.2707043,1000000680.2707043,True,1.265757201816814,2.114677737922732,6.136893701963813,23.496975562040703
21027,0021027.bin,290966.17589396244,354208.54702102323,False,1.326055935858184,1.6276484096746056,13.375617130555248,17.55242932508557
21028,0021028.bin,1000014707.4837353,1000014707.4837353,True,1.5907563122584043,1.3687164015581714,16.19563214271383,13.677152185230847
21029,0021029.bin,1000015663.5201498,1000015663.5201498,True,1.4072554784406193,1.4774651700419856,11.431491204378652,24.349030697128743
21030,0021030.bin,1000000297.7089336,1000000297.7089336,True,1.4731346891781432,1.391936594132386,19.71620573320639,15.454670679580392
21031,0021031.bin,1000000327.1062844,1000000327.1062844,True,1.291147945218574,1.486171400700707,15.220232256567327,25.045314294781196
21032,0021032.bin,1000000055.989624,1000000055.989624,True,2.0347388195750464,1.398473699907035,29.2108154193546,10.78273357655235
21033,0021033.bin,8648.476092426625,24914.92732896362,False,1.1052539740395038,1.4185878296376853,6.002426898633045,14.56159456940521
21034,0021034.bin,1721.6238617080649,1436.355093701333,False,1.0287309388150243,1.2465600984082625,2.214106535647811,16.527681225452653
21035,0021035.bin,1000028443.758436,1000028443.758436,True,1.4217371566794426,1.6767132623074013,9.899723470206094,18.391921099682655
21036,0021036.bin,1000049684.5850488,1000049684.5850488,True,1.9414048004880333,1.839608078034449,17.30202962970553,29.238918003286557
21037,0021037.bin,10064660.625870146,68984860.95402488,False,1.1983165823945692,1.2873686199317969,12.229362478082022,5.825587269575124
21038,0021038.bin,332927.46234235115,133260.42108134547,False,1.370367169862627,1.2731334249714823,23.0787142540433,16.354519571128964
21039,0021039.bin,34.086759892955214,34.086759892955214,False,1.1868201759585946,1.761718604583679,8.05900340508035,24.089932466044022
21040,0021040.bin,1530.024401377283,6260.60156702461,False,1.3311246626365667,1.0975420622134031,12.123246853324066,5.975768185134067
21041,0021041.bin,1000000175.3007524,1000000175.3007524,True,1.1561802375903867,1.9193243051348567,16.890421628332945,23.936856925088517
21042,0021042.bin,15.519175235816993,15.519175235816993,False,1.152443616431284,1.1235321504585385,6.32942561930078,4.4039036742301905
21043,0021043.bin,1000004394.8684137,1000004394.8684137,True,1.1679006995138024,1.5862362811179602,6.504000557572177,27.446119274559287
21044,0021044.bin,21686132.32351827,28312026.771126077,False,1.7841662409138723,1.5799749522393054,19.893160523257716,14.78010303189548
21045,0021045.bin,607175.2945868367,106441.93528819518,False,2.2077196432254627,1.4564897201677807,22.07859327609094,15.38280762445995
21046,0021046.bin,3037.77462935864,3576.2692254274266,False,2.022515142542401,1.3587772996578207,24.387624721352488,12.444779225482467
21047,0021047.bin,596.171887965257,460.48302770043676,False,1.1009450314861613,1.3394886950934868,6.022910570413247,6.805790839523896
21048,0021048.bin,24782.529364196278,21787.46710803293,False,2.285878642201143,1.3309162049238221,27.13486511121532,9.908346453534172
21049,0021049.bin,1000000145.4957324,1000000145.4957324,True,1.767032326824287,1.3512154509106082,28.06630635843723,7.779550935572015
21050,0021050.bin,6922.037129441956,1817.1637842489235,False,1.5108953211038658,1.0469746948270835,22.314870175794756,3.95185099610025
21051,0021051.bin,1000004616.1375595,1000004616.1375595,True,2.6139748486672114,1.9127833218684376,29.088869429578967,18.13885270625233
21052,0021052.bin,1000001449.9528028,1000001449.9528028,True,1.1291848452060003,1.3407432768563712,8.186378542622041,25.870969650752702
21053,0021053.bin,1000000050.9876225,627417547.8378732,True,1.1068215614441177,1.1652919640596133,11.194961058636672,16.02430716219341
21054,0021054.bin,8660.808294084476,6726.627157258723,False,1.509146647447743,1.5943982763228566,14.063155493056813,20.2577092871273
21055,0021055.bin,1000015632.7074746,1000015632.7074746,True,1.2993781097584807,1.7716292789465455,8.653910699353412,23.716459539889037
21056,0021056.bin,94797.84269080617,17350436.416993607,False,1.2232172461144664,1.8417629759149754,5.957186476817065,20.69477829313947
21057,0021057.bin,1000027863.0090848,1000027863.0090848,True,1.8740250273761543,2.068939361287957,17.194497189234394,29.454238125285887
21058,0021058.bin,1000000704.5291935,1000000704.5291935,True,1.7347911234738354,2.093735213174517,18.956989919721845,26.856903646624193
21059,0021059.bin,219683.83274888614,748493.943761975,False,2.258308643916278,1.5426027417002661,27.34785226703417,16.514519027436517
21060,0021060.bin,10.253740780807727,10.253740780807727,False,1.0791373542933829,1.418984658567902,2.7677082756497233,11.940731368016328
21061,0021061.bin,1000001150.2836336,1000001150.2836336,True,2.225427400153475,2.1594948976406076,22.061738961321446,17.777675804209302
21062,0021062.bin,267056.08049388893,328418.55302838556,False,1.0817426056079231,1.4553557775555193,5.256928085386365,26.109536857919835
21063,0021063.bin,1354006.157526562,681158.8750301035,False,1.2080397464562076,1.1059158125045856,23.083342689957288,10.002036944335687
21064,0021064.bin,1000000191.383266,1000000191.383266,True,1.804193544216266,1.8123198737589261,17.219120587645737,17.39565720169375
21065,0021065.bin,1000003041.7538953,1000003041.7538953,True,1.1133536920616027,1.4187875180131917,5.7838223331200185,27.398160686762967
21066,0021066.bin,3102239.1423601606,4014967.5739301583,False,2.2086618690502107,2.587174855238042,22.625386485057653,24.432856054403352
21067,0021067.bin,10048.596683070997,13486.890741136996,False,1.5390565096437487,1.7250052625149757,13.479691943935125,15.278588523817112
21068,0021068.bin,49.120960902655646,49.120960902655646,False,1.4416684821817092,1.0948559112161274,13.047256850974703,1.9997522970654191
21069,0021069.bin,1000014962.0001867,1000014962.0001867,True,1.9920897257817336,1.2634081277392328,26.94377904292749,12.656815817272705
21070,0021070.bin,1000003175.426353,177215167.23279282,True,1.5971927446111391,1.2011314478382837,28.154403050532498,15.789101966522924
21071,0021071.bin,6.893562214124068,6.893562214124068,False,1.6769467703358354,1.0472287029386633,17.390181900631042,1.392556750371169
21072,0021072.bin,1000001301.933591,1000001301.933591,True,1.2711727210688673,1.2466336373837978,16.99285416480669,21.358612694398413
21073,0021073.bin,77795.51235357842,21517.99464422786,False,1.3785534319796222,1.0644600623720235,27.140825346207006,3.9488281060344055
21074,0021074.bin,1000004653.5964288,1000004653.5964288,True,1.902592965667626,1.65645649906251,23.106318501683436,18.255071487517913
21075,0021075.bin,28.890607470250085,28.890607470250085,False,1.0301523124352723,1.0298882100853686,3.4890829496722713,1.4338188953791657
21076,0021076.bin,135561523.21476328,7256931.955246145,False,1.9405271209232613,1.3953946036670366,26.865182096009672,12.021557481315925
21077,0021077.bin,9414.631446578227,23405.41040818649,False,1.218450870824969,1.3483095878142108,4.3847156171269726,23.488052344538318
21078,0021078.bin,1518.0732508038034,21506.25133923144,False,1.9297523932257177,1.8136656924277421,19.509000546049858,16.834785322551358
21079,0021079.bin,15801823.385694696,30803466.64210367,False,1.513322887814597,1.2289975022768427,28.66480176594303,26.40815714926961
21080,0021080.bin,959.8679165392093,1615.4837882208801,False,1.3640970844662794,1.4701144914278077,13.39765454545754,21.983150282266962
21081,0021081.bin,2594.993160920597,2679.863650491795,False,1.141368179417176,1.0689447291392538,5.764451740719079,5.389692949724015
21082,0021082.bin,15535.144744150075,13893.195219605132,False,1.691165867581481,1.2151795361672324,27.71000649692078,5.439456086328688
21083,0021083.bin,1746.3229062261485,1896.0760190493447,False,1.1638730725990714,1.0224727632926598,19.453501277151872,3.0349503879633377
21084,0021084.bin,643.491516028162,405.022760842007,False,1.5287080475929793,1.0838992476260811,17.782361759923596,4.004560140079878
21085,0021085.bin,1000000165.3139633,1000000165.3139633,True,1.1378318916202514,1.7205003407049397,16.98951135913928,24.914620753114953
21086,0021086.bin,40174.71063609042,15658.813171813421,False,1.1396259706399605,1.1404436472321733,11.465863760949466,4.909334642193429
21087,0021087.bin,1000000521.0721524,1000000521.0721524,True,1.6608001579494605,1.7355110238200349,23.5818435212029,17.247228238460952
21088,0021088.bin,490.96712191312906,396.8128400138313,False,1.3888340187532473,1.0291374609483663,8.120743979674554,1.2959049575027988
21089,0021089.bin,1000018079.7990007,1000018079.7990007,True,1.8226187941955818,1.42190301974398,21.09119894632218,20.203158551508782
21090,0021090.bin,281584659.6864343,184604771.7117532,False,1.358626492081834,1.5847783102149067,14.200008866951302,25.06714057543124
21091,0021091.bin,1000042699.2397461,1000042699.2397461,True,1.5075892939471884,1.9804980723451648,9.360105785329877,19.14366818736757
21092,0021092.bin,1000035124.2511929,1000035124.2511929,True,1.655391627350599,1.4444686340385553,13.46150588932307,18.732980473592953
21093,0021093.bin,13760827.955184085,70414831.36351854,False,1.1260013735215362,1.5559979751757838,6.47414207940773,25.817151507521398
21094,0021094.bin,1872.035153832584,1872.0697948487355,False,1.8012884115108971,1.1335594455312266,19.517084660897044,10.395429316971432
21095,0021095.bin,1000034230.2436328,1000034230.2436328,True,1.5381355424467944,1.7606259823073032,8.76881871736627,14.404176932572287
21096,0021096.bin,215.46712046158757,215.46712046158757,False,1.139041119790543,1.0776763637202373,5.970421860469317,3.4187732386085
21097,0021097.bin,1000002432.9870306,1000002432.9870306,True,2.190549043349413,1.946376245601358,29.134959491910116,23.724891512963055
21098,0021098.bin,32.38935010153753,32.38935010153753,False,1.066430535946697,1.53994268127928,3.567034606565268,28.520846406165166
21099,0021099.bin,1307396.2553325405,528354.2698006929,False,1.1900352174336637,1.3383273905845907,10.846171405504064,7.300135741645923
21100,0021100.bin,1000049901.4533333,1000049901.4533333,True,1.727122172080337,1.565180288474407,13.403067496889834,27.07873035288034
21101,0021101.bin,419102.7059563946,164966.26930006745,False,1.783649310675141,1.142957834379056,15.448766896562013,5.9002712603297605
21102,0021102.bin,451128.5676768713,73342.23652062868,False,1.6656463456299042,1.102790060499957,20.217379510857565,7.628083260706819
21103,0021103.bin,154202.30100295471,130706.0618517352,False,1.6555040523288322,1.166842028965412,14.023756053341344,4.105841850043007
21104,0021104.bin,1000003147.1630652,1000003147.1630652,True,1.8848859192407152,2.0513336403575972,20.037229240676552,24.10442810330928
21105,0021105.bin,823013.24847372,892504.7898716831,False,1.1254322033285928,1.1271785254577844,13.519597680707323,15.60671723984275
21106,0021106.bin,1957.9448738926621,2613.0064893154376,False,2.5310134302205634,1.320070611684217,28.58170237816869,13.64985387044056
21107,0021107.bin,64.05123886390116,64.05123886390116,False,1.1116534611894235,1.432872337793986,2.8167244805461973,10.515403437037124
21108,0021108.bin,194027.1374149612,890.170192040936,False,2.066743342010951,2.3559348652698295,21.178569501891467,26.34725530217049
21109,0021109.bin,50.16019138719599,50.16019138719599,False,1.0767808028869388,1.5450444335671176,1.8096398385740486,17.499791386285104
21110,0021110.bin,11.84722752377118,11.84722752377118,False,1.0542815013347602,1.9559786038921139,1.602257771919444,28.700126822727253
21111,0021111.bin,1000008254.2326918,1000008254.2326918,True,1.2641738522488104,1.1676837869082497,9.500610898842693,19.426334627629174
