,runstring,seed,pairindex,j,k,Zstar,libfac,Zcom
8427,0008427.bin,708427,1,3,1,0.01389872,0.09435705,0.01860478
8428,0008428.bin,8428,0,7,1,0.009762169,0.0034639740000000003,0.05773089
8429,0008429.bin,708429,0,12,1,0.02756351,-1.399164,0.03782803
8430,0008430.bin,708430,0,11,1,0.02023933,0.0057335,0.02112429
8431,0008431.bin,708431,0,5,1,0.05869941,-0.7940094,0.0365418
8432,0008432.bin,8432,0,7,1,0.006121314,-0.02438219,0.006249311
8433,0008433.bin,708433,1,13,2,0.009352746,0.6340786,0.005222225
8434,0008434.bin,8434,0,5,1,0.01728182,-0.03745457,0.01806125
8435,0008435.bin,1408435,1,9,2,0.01145321,0.01185197,0.0657226
8436,0008436.bin,708436,0,9,1,0.043036300000000006,-0.007579063,0.01524884
8437,0008437.bin,8437,0,5,1,0.0763533,0.1009783,0.09563829
8438,0008438.bin,8438,1,5,1,0.009958375,-0.0033322890000000004,0.01742682
8439,0008439.bin,708439,0,4,1,0.07948091,0.807658,0.04823793
8440,0008440.bin,8440,1,17,2,0.01462627,0.032002800000000005,0.00564015
8441,0008441.bin,8441,0,11,2,0.01358362,-0.1293549,0.04630012
8442,0008442.bin,8442,0,15,2,0.007755569,-0.3651569000000001,0.02857259
8443,0008443.bin,8443,0,5,2,0.02863775,0.03317336,0.07865939
8444,0008444.bin,1408444,1,13,2,0.03839061,0.004260556,0.01334481
8445,0008445.bin,2808445,0,5,1,0.007387999,-0.4676337,0.007187611
8446,0008446.bin,1408446,0,7,2,0.1052838,-0.3107036,0.006961167
8447,0008447.bin,8447,1,5,2,0.02931189,-0.3195163,0.2765212
8448,0008448.bin,8448,0,5,2,0.1080952,-0.0510014,0.269561
8449,0008449.bin,8449,0,35,2,0.007869810999999999,0.06955456,0.01107833
8450,0008450.bin,8450,1,9,2,0.01148185,0.02079851,0.09643002
8451,0008451.bin,6308451,1,6,1,0.01856175,0.1598931,0.01709772
8452,0008452.bin,8452,1,29,2,0.005056347,-0.5969405,0.002462674
8453,0008453.bin,2108453,0,15,1,0.01996824,-0.005937471999999999,0.01978565
8454,0008454.bin,8454,2,7,2,0.02701536,-0.089543,0.004751170999999999
8455,0008455.bin,2808455,2,2,1,0.08928681,-0.244842,0.04074182
8456,0008456.bin,708456,2,2,1,0.08536894,0.8273285,0.08421016
8457,0008457.bin,8457,2,5,2,0.06418954,1.1975049999999998,0.03078294
8458,0008458.bin,8458,1,12,1,0.007133493,0.003435906,0.03701998
8459,0008459.bin,708459,0,3,1,0.13178320000000002,-0.04883574,0.1207763
8460,0008460.bin,8460,1,3,1,0.0394769,0.08233606,0.03029948
8461,0008461.bin,8461,0,10,1,0.04979894,-0.0464753,0.04195627
8462,0008462.bin,1408462,1,6,1,0.03585608,-0.006135429,0.05808338
8463,0008463.bin,2108463,1,9,2,0.009886121,-0.05400909,0.02941573
8464,0008464.bin,8464,1,5,2,0.0137977,0.6873597,0.04348756
8465,0008465.bin,8465,0,4,1,0.05875207,-0.004893329,0.02025657
8466,0008466.bin,8466,1,19,2,0.004013055,-0.1062564,0.05107997
8467,0008467.bin,8467,0,9,1,0.0073279830000000015,0.0666206,0.0160102
8468,0008468.bin,8468,0,12,1,0.05577435,0.03938351,0.01740699
8469,0008469.bin,8469,1,15,2,0.01210116,0.06820009,0.03224391
8470,0008470.bin,1408470,0,11,1,0.02299224,-0.03111134,0.0166873
8471,0008471.bin,8471,1,8,1,0.04656697,0.4523195,0.01495599
8472,0008472.bin,2108472,0,5,1,0.032012900000000004,-0.4843045999999999,0.03685074
8473,0008473.bin,1408473,0,24,1,0.007474414,-2.461929,0.01753429
8474,0008474.bin,708474,0,13,1,0.01613072,-1.023426,0.01286971
8475,0008475.bin,8475,0,13,2,0.007685248,-0.8712761,0.001384896
8476,0008476.bin,708476,0,11,2,0.02578085,-0.0522971,0.005549694
8477,0008477.bin,8477,0,19,2,0.00830632,0.1891997,0.01763428
8478,0008478.bin,2108478,0,5,1,0.02462265,1.13742,0.02681691
8479,0008479.bin,8479,1,3,1,0.06130214,-2.160071,0.08703168
8480,0008480.bin,1408480,1,7,2,0.02822712,0.0254561,0.00983166
8481,0008481.bin,1408481,0,13,1,0.0271935,0.003190195,0.00873385
8482,0008482.bin,2108482,1,6,1,0.08977827,0.004161134,0.01947689
8483,0008483.bin,708483,0,5,2,0.1996176,-0.004293341,0.05474728
8484,0008484.bin,8484,1,19,1,0.01305194,0.06663517,0.02078075
8485,0008485.bin,2808485,0,7,2,0.185352,0.04630013,0.02782806
8486,0008486.bin,708486,1,21,2,0.009964085,-0.1582565,0.05237193
8487,0008487.bin,708487,1,19,2,0.008942469,0.01657856,0.003285622
8488,0008488.bin,8488,1,2,1,0.1853305,0.01522666,0.1005878
8489,0008489.bin,8489,1,29,2,0.002782513,1.331653,0.005278468000000001
8490,0008490.bin,8490,0,7,1,0.03497733,0.7613165,0.01388053
8491,0008491.bin,8491,0,9,2,0.01967992,0.3796989,0.0168507
8492,0008492.bin,708492,0,43,2,0.00173597,-1.465029,0.03034232
8493,0008493.bin,8493,1,5,2,0.03613352,-0.0275598,0.02475151
8494,0008494.bin,8494,1,7,2,0.01475814,-0.05477998,0.05445633
8495,0008495.bin,8495,0,4,1,0.02500342,-2.07152,0.08823048
8496,0008496.bin,8496,1,2,1,0.149454,0.01456336,0.08091361
8497,0008497.bin,8497,0,13,2,0.07451729,-0.003727102,0.01270957
8498,0008498.bin,1408498,1,41,2,0.005789761,0.007229671,0.02093058
8499,0008499.bin,8499,0,7,2,0.01046943,-1.989354,0.01892305
8500,0008500.bin,8500,0,5,1,0.06479773,-0.297518,0.07723366
8501,0008501.bin,708501,0,15,2,0.008273613,-0.007147247,0.06825054
8502,0008502.bin,708502,0,25,1,0.006364821,0.03752961,0.004626598
8503,0008503.bin,708503,1,13,2,0.006311420999999999,-0.01389179,0.03012189
8504,0008504.bin,8504,0,24,1,0.003836622,0.00338957,0.00420344
8505,0008505.bin,8505,0,5,2,0.09651757,0.01084976,0.01772714
8506,0008506.bin,8506,0,13,2,0.02239076,0.006139212,0.09853889999999997
8507,0008507.bin,708507,0,12,1,0.00697824,0.03829817,0.008416384
8508,0008508.bin,708508,1,5,2,0.009191903,-2.118427,0.04547544
8509,0008509.bin,8509,1,28,1,0.004464334,0.1952149,0.002376038
8510,0008510.bin,8510,1,9,2,0.04129037,0.3161246,0.03486628
8511,0008511.bin,8511,1,5,1,0.07187263,-0.03941934,0.04621641
8512,0008512.bin,708512,1,3,1,0.01227369,-0.005497651,0.03679235
8513,0008513.bin,2108513,0,41,2,0.005864538000000001,0.005330786999999999,0.005101208
8514,0008514.bin,2108514,0,11,1,0.03610666,-0.4783865,0.01454854
8515,0008515.bin,708515,1,4,1,0.07628695,0.7986766,0.1167286
8516,0008516.bin,8516,0,23,2,0.003109938,0.1920815,0.0445329
8517,0008517.bin,8517,0,25,2,0.009366514,2.446758,0.004439817
8518,0008518.bin,8518,1,15,2,0.01765156,-0.003832178,0.01423445
8519,0008519.bin,708519,0,11,2,0.005261442,0.8325060999999999,0.06523678
8520,0008520.bin,8520,0,18,1,0.01050222,-0.007534069,0.01387526
8521,0008521.bin,8521,0,13,2,0.02675727,0.036642699999999986,0.00677306
8522,0008522.bin,708522,0,8,1,0.01279208,-0.06827787,0.01067451
8523,0008523.bin,708523,0,49,2,0.002821257,-2.369342,0.005763024
8524,0008524.bin,8524,0,27,2,0.01640129,0.01469012,0.00808249
8525,0008525.bin,8525,0,2,1,0.1764559,-0.7621425000000001,0.06386649
8526,0008526.bin,708526,0,9,2,0.02497255,-1.770871,0.03881737
8527,0008527.bin,1408527,0,5,1,0.02341635,0.1015506,0.09707131
8528,0008528.bin,708528,1,7,1,0.01456459,-2.4556560000000003,0.01502118
8529,0008529.bin,8529,0,23,2,0.0006973356,-1.683787,0.003608137
8530,0008530.bin,8530,1,5,2,0.01823076,0.01601177,0.01192636
8531,0008531.bin,708531,0,23,2,0.003211469,-0.04628126,0.01934542
8532,0008532.bin,3508532,0,5,2,0.1086456,-0.07356564,0.005338936999999999
8533,0008533.bin,8533,0,19,2,0.04060744,-0.004076504,0.01288947
8534,0008534.bin,8534,0,15,2,0.01834146,-0.007451767,0.01410518
8535,0008535.bin,708535,0,9,1,0.02788148,-0.07404827,0.01396277
8536,0008536.bin,1408536,1,5,1,0.03308435,0.055418899999999986,0.07245941
8537,0008537.bin,8537,1,15,1,0.01735918,-0.006504134,0.01578149
8538,0008538.bin,708538,0,26,1,0.003874041,-0.0455159,0.01775394
8539,0008539.bin,1408539,0,23,1,0.005150738,-0.08294355,0.01705643
8540,0008540.bin,708540,0,28,1,0.006096747,-0.006898102,0.01887076
8541,0008541.bin,708541,1,7,2,0.01387434,-0.005340056,0.03031567
8542,0008542.bin,8542,0,5,1,0.03757053,-0.01739179,0.1002447
8543,0008543.bin,8543,0,13,2,0.0184055,0.005548096,0.02552576
8544,0008544.bin,8544,1,5,1,0.03412448,-0.00432589,0.09478082
8545,0008545.bin,8545,0,37,2,0.001640366,-0.3848294,0.01359114
8546,0008546.bin,8546,0,4,1,0.08900015,-0.5169999,0.09758042
8547,0008547.bin,708547,0,9,2,0.02402684,0.01270583,0.04666686
8548,0008548.bin,2108548,0,5,1,0.02707054,0.01034096,0.03344728
8549,0008549.bin,8549,2,5,2,0.01718375,0.006193103,0.08647634
8550,0008550.bin,8550,1,4,1,0.01636635,-0.06808365,0.04021188
8551,0008551.bin,708551,0,9,2,0.01392877,0.005107867,0.07799382
8552,0008552.bin,8552,0,4,1,0.01301464,-0.00739901,0.011075299999999998
8553,0008553.bin,708553,1,4,1,0.04984217,-0.5426922,0.07480952
8554,0008554.bin,2808554,0,7,2,0.05877181,-1.2147,0.01603303
8555,0008555.bin,708555,1,2,1,0.2812308,0.1151994,0.05296584
8556,0008556.bin,8556,1,5,1,0.0457296,-0.003808812,0.0418195
8557,0008557.bin,8557,0,4,1,0.0278917,0.003485802,0.0172141
8558,0008558.bin,708558,1,9,2,0.003617975,0.01019843,0.01428822
8559,0008559.bin,1408559,1,6,1,0.03181916,0.007516651,0.01918526
8560,0008560.bin,1408560,1,17,2,0.04886098,0.13972579999999998,0.07483129
8561,0008561.bin,1408561,1,17,1,0.02345406,0.0059801080000000005,0.01927474
8562,0008562.bin,2108562,0,15,2,0.01776562,-1.543067,0.02909633
8563,0008563.bin,8563,1,9,2,0.04695045,0.4601778,0.1306204
8564,0008564.bin,708564,1,15,1,0.01611958,-0.05373903,0.006458665
8565,0008565.bin,2108565,0,17,2,0.01531754,-0.6930594,0.04108012
8566,0008566.bin,8566,0,3,1,0.02932717,-0.2149107,0.0402212
8567,0008567.bin,8567,0,11,2,0.03239137,-0.1621445,0.001932624
8568,0008568.bin,1408568,0,6,1,0.02482914,0.01722814,0.0569694
8569,0008569.bin,8569,1,21,2,0.01005549,-0.09470784,0.006185329
8570,0008570.bin,8570,1,11,2,0.02333759,-0.06713834,0.06520926
8571,0008571.bin,8571,0,6,1,0.03421207,-0.006894206,0.05948461
8572,0008572.bin,1408572,1,9,1,0.03259757,-0.2591675,0.06451064
8573,0008573.bin,8573,0,7,1,0.06555376,-0.1694074,0.01870651
8574,0008574.bin,2108574,1,9,1,0.008493921,-0.005942903,0.03303586
8575,0008575.bin,708575,0,9,2,0.01309321,-0.01295094,0.0393425
8576,0008576.bin,2108576,1,19,2,0.01722349,0.01587966,0.013559
8577,0008577.bin,708577,1,13,1,0.008886278000000001,0.203282,0.01884032
8578,0008578.bin,8578,1,24,1,0.02124258,0.01476336,0.008641754
8579,0008579.bin,2108579,0,6,1,0.06372,-0.0155076,0.02856487
8580,0008580.bin,8580,0,35,2,0.006007628,-0.0163063,0.001824874
8581,0008581.bin,708581,1,57,2,0.0006487395,-0.31329470000000004,0.003256628
8582,0008582.bin,1408582,0,21,2,0.01224712,-0.04382637,0.003415741
8583,0008583.bin,8583,1,29,2,0.02051872,0.09011628,0.015979
8584,0008584.bin,8584,0,4,1,0.03332064,-0.2780734,0.07750602
8585,0008585.bin,708585,1,9,2,0.05068363,-0.1159873,0.05777612
8586,0008586.bin,8586,1,31,2,0.001893031,-0.005917466999999999,0.02269694
8587,0008587.bin,3508587,1,4,1,0.09768268,0.13508789999999998,0.01008375
8588,0008588.bin,708588,0,31,2,0.008430645,-0.08481388,0.002495577
8589,0008589.bin,3508589,1,21,2,0.008582375,-0.01318961,0.01014137
8590,0008590.bin,2808590,0,5,2,0.02963186,1.340913,0.009591714
8591,0008591.bin,708591,1,7,1,0.07566297,0.005204693,0.02799914
8592,0008592.bin,8592,0,19,2,0.0055531140000000005,-0.003029594,0.005296478
8593,0008593.bin,8593,0,11,2,0.03365859,0.985851,0.00624146
8594,0008594.bin,1408594,0,2,1,0.138391,0.07639595,0.14868689999999998
