,runstring,m1,m2,m3
64,0000064.bin,2.0499273794999996e-05,1.111185075e-05,3.392645256e-06
65,0000065.bin,2.7459945513e-05,9.332600277e-06,1.5268993739999998e-06
66,0000066.bin,2.0843141318999997e-05,1.157581425e-05,5.10302793e-07
67,0000067.bin,2.7554239713000003e-05,1.3048365329999999e-05,8.638700069999999e-07
68,0000068.bin,2.0980558599e-05,1.1756760015000001e-05,3.00924624e-07
69,0000069.bin,2.2931718809999998e-05,1.002134133e-05,1.4400919533e-05
70,0000070.bin,2.0998372394999997e-05,1.3053686646e-05,4.40053614e-07
71,0000071.bin,2.1480660201e-05,1.0199500311e-05,1.17384267e-06
72,0000072.bin,2.5226932731e-05,1.2713353653e-05,1.9781812050000003e-06
73,0000073.bin,1.8527311803e-05,9.840434603999999e-06,7.880532659999999e-07
74,0000074.bin,2.5186644483e-05,1.0381175805000001e-05,5.742675939e-06
75,0000075.bin,2.5557160628999996e-05,1.7142715590000002e-05,4.493076588e-06
76,0000076.bin,2.2531923414e-05,1.4368087733999999e-05,1.631277648e-06
77,0000077.bin,2.4370798452e-05,1.0799085297e-05,1.033488456e-06
78,0000078.bin,2.0428054647000004e-05,9.857248400999999e-06,2.04194991e-07
79,0000079.bin,2.0861916075e-05,1.2564705153e-05,5.217271058999999e-06
80,0000080.bin,2.1363537194999996e-05,1.2093762680999999e-05,2.1593071499999995e-07
81,0000081.bin,1.9070953901999997e-05,1.2762867117e-05,2.156967813e-06
82,0000082.bin,2.3197457282999998e-05,1.4691021345e-05,3.453080631e-06
83,0000083.bin,2.3679171516e-05,1.5205969779000001e-05,9.633804179999999e-07
84,0000084.bin,2.5604998418999997e-05,1.0947808872e-05,3.732332604e-06
85,0000085.bin,2.170796628e-05,1.3640151525e-05,2.1784993229999993e-06
86,0000086.bin,2.2748454729e-05,1.6650538905e-05,1.058110053e-06
87,0000087.bin,2.5548226703999997e-05,1.0771049289e-05,5.26260735e-07
88,0000088.bin,2.5217446254000003e-05,1.3442241812999999e-05,2.88029742e-07
89,0000089.bin,2.1529996488000002e-05,1.1677249584e-05,2.1548026499999998e-07
90,0000090.bin,2.1358783446e-05,1.2217864658999997e-05,2.062196136e-06
91,0000091.bin,2.2364632290000002e-05,1.6209166974e-05,7.337235906000001e-06
92,0000092.bin,2.6362571234999996e-05,1.3475448987e-05,2.685895212e-06
93,0000093.bin,1.8783344579999997e-05,1.2612098499e-05,4.2291549299999993e-07
94,0000094.bin,2.3823462663000002e-05,1.4057259216000001e-05,4.2852509699999994e-07
95,0000095.bin,2.6060070035999994e-05,1.5852614778e-05,4.12083672e-07
96,0000096.bin,2.3061649611e-05,1.2189939761999999e-05,4.23341919e-07
97,0000097.bin,2.4084315254999997e-05,1.5110068974000002e-05,2.185460277e-06
98,0000098.bin,2.4650161535999996e-05,1.4851477641e-05,9.218999789999998e-07
99,0000099.bin,2.2284851589e-05,1.4831820003e-05,1.8865464617999998e-05
100,0000100.bin,2.2716625932e-05,1.2856131288e-05,1.7777729969999997e-06
101,0000101.bin,2.2336938624e-05,1.3037608584e-05,1.64333169e-06
102,0000102.bin,2.1638218602e-05,1.3454896454999998e-05,1.148671524e-06
103,0000103.bin,2.7595819251000002e-05,1.3728758042999998e-05,8.68581714e-07
104,0000104.bin,1.9613013420000002e-05,9.605786189999999e-06,3.7996928969999993e-06
105,0000105.bin,2.6905807929e-05,1.4252144907e-05,4.854499649999999e-07
106,0000106.bin,2.6675802153e-05,1.2280047779999998e-05,1.0709749049999997e-06
107,0000107.bin,2.6474799351e-05,1.1511895395e-05,1.0145758623e-05
108,0000108.bin,2.3476652199e-05,1.1647234599e-05,9.29674746e-07
109,0000109.bin,2.1485347883999997e-05,1.1556045500999999e-05,1.0901610719999998e-06
110,0000110.bin,2.2631004396e-05,1.0662115463999998e-05,2.40861621e-07
111,0000111.bin,2.1271285034999997e-05,9.020015004e-06,1.6258242e-08
112,0000112.bin,2.2098704628e-05,1.3365371018999999e-05,8.065547489999999e-07
113,0000113.bin,2.0714519825999996e-05,1.1981051082e-05,9.559825275e-06
114,0000114.bin,2.3790213446999998e-05,8.884033158e-06,8.61900039e-07
115,0000115.bin,2.3573000451e-05,9.406158761999999e-06,6.361675320000001e-07
116,0000116.bin,2.464496034e-05,1.5342561234000002e-05,4.76326851e-07
117,0000117.bin,2.5283923665e-05,1.2817791987e-05,1.2765993239999999e-06
118,0000118.bin,2.4065054013e-05,1.4748165432e-05,4.7117370300000004e-07
